datetime,h,T,t_final,cav,path_following,delays,K,num_agents,trajectory_type,mean_mpc_time,max_mpc_time,consensus_time,du11
2026-03-14_18-12-59,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",10,3,mixed,0.008448099532322577,0.019426822662353516,5.7,
2026-03-14_18-13-14,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",15,3,mixed,0.010170631809913611,0.02169632911682129,5.15,
2026-03-14_18-13-30,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",20,3,mixed,0.011030519900678777,0.025353431701660156,4.9,
2026-03-14_18-13-45,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",25,3,mixed,0.011576857972652354,0.025362014770507812,4.7,
2026-03-14_18-15-48,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",1,4,mixed,0.005834180184385993,0.014309406280517578,35.2,
2026-03-14_18-16-26,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",2,4,mixed,0.006394530681365314,0.015146255493164062,9.35,
2026-03-14_18-16-49,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",3,4,mixed,0.007438814153476637,0.01604175567626953,4.9,
2026-03-14_18-17-20,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",4,4,mixed,0.006955628908133205,0.01740121841430664,7.9,
2026-03-14_18-17-49,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",5,4,mixed,0.007101421931694294,0.013524770736694336,7.25,
2026-03-14_18-18-14,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",10,4,mixed,0.009071609553168802,0.01729440689086914,5.95,
2026-03-14_18-18-40,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",15,4,mixed,0.01111231516073416,0.024832487106323242,5.550000000000001,
2026-03-14_18-19-06,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",20,4,mixed,0.01245126267459905,0.02570509910583496,5.3500000000000005,
2026-03-14_18-19-35,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",25,4,mixed,0.015115167981102353,0.033255577087402344,5.25,
2026-03-14_18-21-36,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",1,3,circular,0.005272084713342599,0.01542043685913086,44.1,
2026-03-14_18-22-05,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",2,3,circular,0.004626629787421076,0.015083789825439453,13.25,
2026-03-14_18-22-21,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",3,3,circular,0.004849463116888907,0.009457111358642578,6.800000000000001,
2026-03-14_18-22-32,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",4,3,circular,0.004859364624564529,0.00836944580078125,4.7,
2026-03-14_18-22-42,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",5,3,circular,0.0052681335231714085,0.013036966323852539,3.8000000000000003,
2026-03-14_18-22-56,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",10,3,circular,0.006193472628007855,0.011741876602172852,5.7,
2026-03-14_18-23-10,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",15,3,circular,0.007245184919980737,0.01845097541809082,5.15,
2026-03-14_18-23-23,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",20,3,circular,0.008032633333790059,0.01794719696044922,4.9,
2026-03-14_18-23-36,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",25,3,circular,0.008982126594435239,0.020081043243408203,4.7,
2026-03-14_18-25-34,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",1,4,circular,0.004541640352999044,0.011771917343139648,35.1,
2026-03-14_18-26-08,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",2,4,circular,0.004801316057296998,0.010923624038696289,9.35,
2026-03-14_18-26-26,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",3,4,circular,0.004749261603063467,0.009629964828491211,4.9,
